No,제목,회사,지역,Link
54,AI 데이터 라벨링 어시스턴트,주식회사 카카오,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603100000151&src=etc*search
55,[제조AI] 제조 비전데이터 수집 및 검증,현대자동차(주),경기 의왕시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603200000972&src=etc*search
56,[중견 IT솔루션]  데이터플랫폼 개발 (3개 포지션),파워에이치알,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603260004060&src=etc*search
57,[유망 에듀테크기업] 데이터/그로스 마케팅 리드(팀장) 채용,(주)피너클써치,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310002073&src=etc*search
58,MEMS 도금액 성분 분석 및 관리,주식회사 메가터치,충남 천안시 서북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270002585&src=etc*search
59,[ 상장기업 ] 하드웨어 개발 및 분석,파워에이치알,서울 마포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603260000112&src=etc*search
60,카카오맵 학습 데이터 구축 어시스턴트,주식회사 카카오,전국,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603130000137&src=etc*search
61,[주요 SI업체] 클라우드 기반 데이터 아키텍처 설계/구축(Data Architect),파워에이치알,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603200003962&src=etc*search
62,(무료 실무 프로젝트) AI 데이터·PM 취업과정,(주)핀인사이트,서울 종로구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010002260&src=etc*search
63,대기환경 분석 실험 보조 채용 공고,주식회사 그린환경종합센터,전남 순천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603160000341&src=etc*search
64,"RPA 오토메이션, 프로세스 분석/ 설계 엔지니어     ( 중견  기업 )",HR컨설팅(주),서울 마포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300001300&src=etc*search
65,화학계열 분석업무 경력자,(주)코어피플,경기 평택시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240001202&src=etc*search
66,[NAVER Cloud] 대규모 시각 데이터 처리 파이프라인 구축 (체험형 인턴),네이버클라우드 주식회사,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300002557&src=etc*search
67,"공정분석(이천, 계약직)",샘표식품,경기 이천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310000825&src=etc*search
68,[AI·디지털전환 중견기업] AI Vision 시계열 데이터 융합 Engineer 경력채용,에스에프인촌 주식회사,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602040000207&src=etc*search
69,시험분석 고객관리(계약직),(주)세스코,서울 강동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020000942&src=etc*search
70,"품질관리 (기기 분석  HPLC , G/C )",대지화학(주),충남 예산군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300003380&src=etc*search
71,수질환경 실험분석 경력자 모집,(주)청담이엠텍,경기 의정부시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230005037&src=etc*search
72,[ 수원 영통 ] 데이터 관리시스템 [ 개발 ],한국정보데이터시스템 주식회사,경기 수원시 영통구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603260003256&src=etc*search
73,수질 분석 및 사무보조원 모집,(주)유성환경개발,충남 천안시 서북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010001803&src=etc*search
74,제판실 디자인/데이터 작업 오퍼레이터 모집,(유)광신,경기 안산시 단원구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300004530&src=etc*search
75,"시장조사·분석, 고객지원 외 신입  채용",대우디앤디,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020002086&src=etc*search
76,[주요SI업체] 침해사고 분석 전문가,파워에이치알,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603290000225&src=etc*search
77,"시험분석, 제품평가, R&D수행 채용",(주)워터핀,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602100001972&src=etc*search
78,[하나금융융합기술원] 데이터 마케팅 경력 연구원 모집,(주)하나금융티아이,인천 서구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230001093&src=etc*search
79,[Global 특수가스 제조업] 분석팀장,(주)글로벌스카우트,충남 아산시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603220000130&src=etc*search
80,"(주)노루페인트 조색 프로그램, 색상 데이터 입력",(주)노루페인트,경기 안양시 만안구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230000417&src=etc*search
81,도금액분석/품질관리 사원모집,(주)충청도금,충북 청주시 흥덕구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180001722&src=etc*search
82,분석장비 및 계측장비 기술영업사원,그레이스앤파트너스,서울 강남구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602020001298&src=etc*search
83,2026 명품입찰 분석지원팀 정규직 채용,(주)명품입찰,대전 동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310001675&src=etc*search
84,정보보안(악성코드분석/대응) 경력사원 모집,(주)케인앤클루컨설팅,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300000252&src=etc*search
85,[정보보안] 네트워크 보안/분석 담당자 모집,(주)엔씨소프트,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603130001404&src=etc*search
86,대형 AI 데이터센터(IDC) 개발사업담당,피플투피플,서울 송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230001023&src=etc*search
87,시험분석 영업팀(팀장/팀원),(주)세스코,서울 강동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020000945&src=etc*search
88,[CJ올리브영] 데이터플랫폼 설계 및 모델링 담당자 (Data Architect),CJ 올리브영,서울 용산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020002130&src=etc*search
89,[건설&에너지 그룹  계열사  ] 데이터센터 개발사업 대리/부장급,(주)더라이징스타,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603120000970&src=etc*search
90,GTNR_한우 유전자 분석 연구원을 찾습니다.,(주)지티엔알,충남 당진시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230003475&src=etc*search
